Contact,Day,Default,Education,Housing,Job,Loan,Marital,Month,Poutcome,Y,Age,Balance,Campaign,Duration,Pdays,Previous
cellular,9,no,secondary,yes,admin.,no,married,jul,unknown,no,44,262,1,74,-1,0
unknown,28,no,secondary,yes,services,no,single,may,unknown,no,25,3217,1,24,-1,0
cellular,6,no,secondary,yes,technician,no,single,may,failure,no,37,5436,11,7,351,1
cellular,15,no,primary,yes,blue-collar,no,married,may,unknown,no,41,2067,7,493,-1,0
cellular,3,no,secondary,no,blue-collar,no,single,mar,unknown,yes,34,215,3,350,-1,0
unknown,6,no,secondary,no,services,no,divorced,jun,unknown,no,36,1594,3,250,-1,0
cellular,28,no,tertiary,no,self-employed,no,married,aug,unknown,no,44,134,4,86,-1,0
cellular,20,no,tertiary,no,entrepreneur,no,divorced,nov,unknown,no,34,262,1,371,-1,0
unknown,9,no,primary,no,blue-collar,no,divorced,jun,unknown,no,56,3021,2,419,-1,0
unknown,8,no,tertiary,yes,management,no,divorced,may,unknown,yes,43,388,2,2087,-1,0
cellular,15,no,secondary,yes,blue-collar,no,single,may,unknown,no,28,3412,4,22,-1,0
unknown,5,no,secondary,yes,blue-collar,no,married,may,unknown,no,54,1291,1,266,-1,0
cellular,21,no,secondary,no,technician,no,divorced,jul,unknown,no,37,79,1,191,-1,0
cellular,19,no,tertiary,no,self-employed,no,married,feb,success,yes,59,2013,4,222,94,2
telephone,17,no,secondary,no,blue-collar,yes,divorced,jul,unknown,no,58,543,3,264,-1,0
unknown,9,no,tertiary,yes,management,no,divorced,jun,unknown,no,56,1016,5,184,-1,0
cellular,28,no,secondary,no,blue-collar,yes,single,may,unknown,no,32,604,3,95,-1,0
cellular,13,no,tertiary,no,management,no,single,aug,unknown,no,42,525,2,127,-1,0
cellular,31,no,primary,no,retired,no,divorced,jul,unknown,no,52,353,4,395,-1,0
cellular,8,no,tertiary,yes,management,no,married,apr,unknown,no,46,964,1,174,-1,0
cellular,27,no,tertiary,yes,admin.,no,married,apr,unknown,yes,37,3913,1,124,-1,0
unknown,26,no,primary,yes,blue-collar,no,married,may,unknown,no,39,879,2,102,-1,0
cellular,17,no,secondary,yes,admin.,no,married,apr,unknown,no,31,314,1,279,-1,0
cellular,27,no,primary,no,housemaid,no,married,aug,unknown,no,59,0,11,76,-1,0
cellular,11,no,secondary,yes,blue-collar,no,married,may,unknown,no,38,1370,2,472,-1,0
cellular,18,no,secondary,no,management,no,married,aug,unknown,no,58,37,11,84,-1,0
cellular,20,no,tertiary,yes,management,yes,single,nov,failure,no,34,673,1,271,184,1
unknown,26,no,secondary,yes,services,no,married,may,unknown,no,40,-342,1,754,-1,0
telephone,11,no,secondary,no,student,no,single,may,failure,no,20,291,5,172,371,5
cellular,8,no,secondary,yes,technician,yes,married,apr,unknown,no,34,209,2,375,-1,0
cellular,12,no,tertiary,yes,technician,no,single,aug,unknown,no,31,438,2,130,-1,0
unknown,12,no,secondary,yes,admin.,no,single,may,unknown,no,39,1242,3,303,-1,0
unknown,16,no,tertiary,yes,entrepreneur,no,married,may,unknown,no,34,355,1,261,-1,0
cellular,17,no,secondary,yes,blue-collar,yes,married,apr,unknown,no,24,204,3,229,-1,0
cellular,1,no,tertiary,yes,management,no,married,jun,unknown,no,41,10758,1,288,-1,0
cellular,18,no,tertiary,yes,management,no,married,nov,unknown,no,40,5,3,219,-1,0
unknown,30,no,secondary,yes,technician,no,single,may,unknown,yes,45,410,4,891,-1,0
unknown,26,no,tertiary,yes,management,no,married,may,unknown,no,36,605,1,204,-1,0
unknown,20,no,tertiary,no,management,no,married,jun,unknown,no,53,4,6,19,-1,0
cellular,25,no,secondary,no,student,no,single,aug,unknown,no,23,8494,2,158,-1,0
unknown,8,no,primary,yes,entrepreneur,no,married,may,unknown,no,42,198,1,314,-1,0
unknown,19,no,secondary,yes,blue-collar,no,married,may,unknown,no,48,841,1,215,-1,0
cellular,25,no,tertiary,no,management,no,married,aug,unknown,no,34,8,4,169,-1,0
cellular,31,no,secondary,yes,admin.,no,married,jul,unknown,no,36,470,4,101,-1,0
unknown,20,no,secondary,yes,retired,no,married,may,unknown,no,43,520,13,15,-1,0
unknown,21,no,secondary,yes,blue-collar,no,married,may,unknown,no,36,439,5,260,-1,0
cellular,14,no,secondary,yes,blue-collar,no,married,may,unknown,yes,49,-454,1,558,-1,0
unknown,17,no,secondary,no,retired,no,married,jun,unknown,no,55,466,4,287,-1,0
cellular,22,no,secondary,yes,retired,no,married,apr,unknown,yes,53,665,2,371,-1,0
cellular,11,no,secondary,yes,technician,no,married,aug,failure,yes,42,994,1,149,78,5
unknown,21,no,secondary,yes,admin.,yes,married,oct,unknown,yes,45,5346,1,187,-1,0
unknown,21,no,secondary,yes,blue-collar,no,married,may,unknown,no,31,1243,1,32,-1,0
unknown,5,no,tertiary,yes,admin.,no,married,may,unknown,no,32,0,1,138,-1,0
unknown,17,no,secondary,yes,blue-collar,no,married,jun,unknown,no,36,2357,2,228,-1,0
telephone,3,no,secondary,no,retired,no,married,jul,unknown,yes,56,1044,2,353,-1,0
unknown,8,no,secondary,yes,admin.,no,married,may,unknown,no,46,1069,2,45,-1,0
cellular,9,no,secondary,no,housemaid,no,single,jul,unknown,no,41,231,2,76,-1,0
unknown,6,no,secondary,yes,admin.,yes,married,may,unknown,no,31,0,2,144,-1,0
cellular,19,no,secondary,yes,technician,no,married,aug,unknown,no,32,266,2,168,-1,0
cellular,30,no,tertiary,yes,management,no,married,jan,other,no,38,-70,1,140,2,3
unknown,17,no,primary,no,retired,no,single,jun,unknown,no,49,25824,1,94,-1,0
unknown,17,no,primary,no,management,no,single,jun,unknown,no,46,538,3,118,-1,0
cellular,18,no,secondary,yes,technician,no,single,may,unknown,no,29,534,1,382,-1,0
cellular,19,no,unknown,no,admin.,no,married,nov,unknown,no,36,2323,1,111,-1,0
cellular,15,no,secondary,yes,admin.,no,married,may,unknown,no,38,1852,2,298,-1,0
unknown,30,no,secondary,yes,technician,no,married,may,unknown,no,53,2647,1,121,-1,0
unknown,15,no,tertiary,yes,management,no,married,may,unknown,no,43,2767,7,317,-1,0
unknown,5,no,tertiary,yes,management,yes,married,may,unknown,no,41,176,1,42,-1,0
cellular,5,no,secondary,no,management,no,single,aug,unknown,no,42,9720,2,81,-1,0
cellular,3,no,secondary,yes,blue-collar,no,divorced,apr,failure,yes,55,1613,1,296,270,3
telephone,25,no,secondary,yes,admin.,yes,divorced,jul,unknown,no,39,2903,2,259,-1,0
cellular,6,no,secondary,yes,admin.,no,single,aug,other,no,30,81,6,121,112,3
cellular,15,no,secondary,yes,blue-collar,no,married,may,unknown,no,41,780,3,432,-1,0
cellular,8,no,tertiary,no,unemployed,no,married,aug,unknown,no,44,178,2,126,-1,0
cellular,16,no,tertiary,no,management,no,married,jul,unknown,no,58,299,4,120,-1,0
cellular,29,no,primary,yes,retired,no,married,jan,unknown,no,35,285,1,136,-1,0
cellular,17,no,secondary,yes,blue-collar,no,married,apr,unknown,no,27,872,3,1130,-1,0
cellular,17,no,secondary,no,services,no,married,dec,success,yes,34,1337,2,330,127,3
cellular,23,no,secondary,yes,services,no,married,jul,unknown,no,25,72,2,305,-1,0
unknown,20,no,secondary,no,blue-collar,no,married,jun,unknown,no,36,0,3,332,-1,0
unknown,9,no,secondary,yes,blue-collar,no,married,may,unknown,no,38,-388,1,412,-1,0
cellular,11,no,secondary,yes,admin.,no,married,may,unknown,no,30,11,1,157,-1,0
cellular,30,yes,secondary,yes,blue-collar,no,divorced,jul,unknown,no,47,-535,2,71,-1,0
cellular,8,no,secondary,yes,services,no,divorced,may,unknown,no,41,787,2,297,-1,0
cellular,18,no,tertiary,no,management,no,single,nov,unknown,no,36,3343,1,307,-1,0
telephone,4,no,secondary,no,entrepreneur,no,married,aug,success,yes,63,3904,2,250,187,2
cellular,30,no,tertiary,yes,management,no,single,apr,unknown,no,23,736,1,119,-1,0
cellular,7,no,tertiary,no,management,no,married,aug,unknown,no,32,1390,2,116,-1,0
telephone,7,no,primary,no,retired,no,married,jul,unknown,no,57,808,1,274,-1,0
cellular,5,no,tertiary,no,management,no,married,aug,success,yes,48,1147,1,389,64,2
cellular,4,no,secondary,no,services,no,married,aug,unknown,no,49,1122,1,143,-1,0
unknown,28,no,secondary,yes,technician,yes,married,may,unknown,no,50,-568,2,860,-1,0
unknown,21,no,primary,yes,blue-collar,no,married,may,unknown,no,33,1165,2,420,-1,0
unknown,28,no,secondary,yes,services,no,divorced,may,unknown,no,53,-905,1,213,-1,0
cellular,18,no,tertiary,yes,unemployed,no,married,nov,unknown,no,30,0,1,756,-1,0
cellular,7,no,secondary,no,technician,no,married,aug,unknown,no,38,740,3,259,-1,0
cellular,23,no,secondary,yes,management,no,married,jul,unknown,no,44,8262,16,201,-1,0
unknown,13,no,secondary,yes,admin.,yes,single,may,unknown,no,39,14,9,19,-1,0
cellular,18,no,unknown,yes,technician,yes,single,nov,failure,no,45,7108,1,53,172,3
cellular,14,no,secondary,yes,blue-collar,no,married,may,unknown,yes,36,1049,4,224,-1,0
cellular,13,no,secondary,yes,blue-collar,no,married,may,other,no,38,0,5,57,349,1
unknown,30,no,secondary,yes,housemaid,no,married,may,unknown,no,36,419,1,251,-1,0
cellular,16,no,tertiary,yes,management,no,single,apr,failure,no,30,726,1,39,342,3
unknown,18,no,tertiary,yes,technician,yes,divorced,jun,unknown,no,28,594,3,54,-1,0
unknown,23,no,tertiary,yes,unemployed,yes,married,may,unknown,no,26,454,18,28,-1,0
cellular,12,no,secondary,no,unknown,no,married,nov,other,yes,54,2206,1,104,99,2
cellular,27,no,tertiary,no,admin.,no,married,mar,failure,yes,38,1988,2,164,130,2
cellular,7,no,tertiary,no,technician,no,single,aug,unknown,no,32,0,2,268,-1,0
cellular,17,no,secondary,no,admin.,yes,divorced,nov,unknown,no,50,202,1,148,-1,0
unknown,7,no,secondary,yes,blue-collar,no,married,may,unknown,no,43,667,3,228,-1,0
cellular,18,no,secondary,no,admin.,no,married,aug,unknown,no,48,112,5,139,-1,0
cellular,18,no,primary,no,housemaid,no,married,aug,unknown,no,57,50,3,89,-1,0
cellular,15,no,primary,no,housemaid,no,married,jul,success,no,64,768,2,250,182,1
unknown,23,no,secondary,yes,services,no,divorced,may,unknown,no,26,74,6,106,-1,0
cellular,18,no,secondary,yes,blue-collar,no,married,jul,unknown,yes,33,661,1,968,-1,0
cellular,6,no,secondary,no,self-employed,yes,married,aug,unknown,no,50,3025,3,168,-1,0
cellular,24,no,tertiary,no,self-employed,no,married,jul,unknown,no,47,751,14,408,-1,0
cellular,23,no,tertiary,no,management,no,single,oct,unknown,no,39,416,4,56,-1,0
cellular,28,no,primary,no,services,yes,married,jul,unknown,no,52,14,5,55,-1,0
unknown,29,no,primary,yes,blue-collar,no,single,may,unknown,no,31,-502,4,76,-1,0
cellular,11,no,primary,no,blue-collar,no,married,aug,unknown,no,50,0,5,72,-1,0
cellular,13,no,secondary,yes,technician,no,married,aug,unknown,no,47,599,3,99,-1,0
cellular,27,no,tertiary,yes,management,no,single,aug,unknown,no,30,-218,15,13,-1,0
cellular,14,no,tertiary,no,technician,no,single,apr,unknown,no,32,1012,1,178,-1,0
unknown,9,no,secondary,no,technician,no,married,jun,unknown,no,36,300,1,287,-1,0
cellular,14,no,tertiary,yes,technician,no,married,may,other,no,46,217,1,141,346,2
cellular,21,no,tertiary,no,management,no,divorced,nov,failure,no,45,2096,1,127,100,2
cellular,4,no,secondary,no,technician,no,single,aug,unknown,no,37,0,2,69,-1,0
unknown,4,no,primary,yes,housemaid,no,married,jun,unknown,no,58,5278,4,763,-1,0
cellular,17,no,tertiary,no,management,no,married,feb,failure,no,59,1831,1,122,92,1
cellular,18,no,tertiary,yes,management,no,married,may,unknown,no,28,1480,1,143,-1,0
cellular,2,no,tertiary,yes,management,no,married,feb,unknown,no,48,7289,3,316,-1,0
telephone,30,no,unknown,no,blue-collar,no,married,jul,unknown,no,55,1665,2,89,-1,0
cellular,15,no,primary,yes,blue-collar,no,single,may,failure,no,37,851,1,151,352,1
cellular,19,no,tertiary,no,management,no,married,nov,unknown,no,41,2885,1,40,-1,0
unknown,4,no,secondary,no,blue-collar,yes,married,oct,failure,no,35,137,1,5,808,12
cellular,18,no,secondary,yes,blue-collar,no,single,jul,unknown,no,34,1239,1,90,-1,0
cellular,21,no,tertiary,no,management,no,single,nov,other,no,43,146,1,50,113,5
cellular,15,no,secondary,no,technician,no,married,apr,failure,yes,59,1,2,159,378,3
cellular,10,no,primary,no,blue-collar,yes,divorced,jul,unknown,no,50,-10,6,369,-1,0
cellular,22,no,secondary,no,technician,no,married,oct,other,yes,37,480,2,344,182,8
cellular,4,no,secondary,yes,technician,no,married,sep,failure,no,35,2789,2,256,94,1
cellular,26,no,secondary,no,technician,no,single,oct,unknown,no,50,3897,1,298,-1,0
cellular,11,no,secondary,no,technician,yes,divorced,aug,unknown,no,36,487,3,268,-1,0
cellular,13,no,secondary,yes,admin.,no,married,apr,unknown,no,41,5110,1,231,-1,0
unknown,27,no,tertiary,yes,management,no,married,may,unknown,no,28,318,4,4,-1,0
cellular,12,no,tertiary,yes,technician,no,single,may,failure,no,42,-411,5,78,292,3
unknown,5,no,secondary,no,retired,no,married,jun,unknown,no,60,4820,1,419,-1,0
telephone,13,no,tertiary,yes,management,no,single,may,unknown,no,28,4937,3,421,-1,0
cellular,10,no,secondary,no,entrepreneur,yes,married,jul,unknown,no,48,725,1,105,-1,0
unknown,6,no,tertiary,no,entrepreneur,no,married,jun,unknown,no,51,5403,1,42,-1,0
cellular,26,no,tertiary,no,technician,no,married,may,failure,no,32,4089,7,114,287,3
cellular,26,no,tertiary,no,technician,no,married,aug,unknown,no,35,188,2,286,-1,0
cellular,1,no,unknown,no,technician,no,married,oct,success,yes,37,189,1,238,107,2
unknown,11,no,secondary,yes,blue-collar,no,divorced,jun,unknown,no,38,2998,1,91,-1,0
cellular,13,no,secondary,no,retired,no,married,aug,unknown,no,77,610,3,766,-1,0
cellular,28,no,unknown,no,management,no,single,jan,unknown,no,32,787,1,92,-1,0
cellular,4,no,secondary,no,technician,no,divorced,aug,unknown,no,43,167,3,211,-1,0
cellular,7,no,tertiary,yes,management,no,single,may,failure,no,36,243,2,160,360,3
cellular,3,no,tertiary,no,management,no,married,feb,unknown,no,29,877,3,166,-1,0
cellular,21,no,secondary,yes,admin.,no,single,nov,unknown,no,32,2817,1,195,-1,0
cellular,16,no,tertiary,yes,management,yes,divorced,jul,unknown,no,41,4567,1,106,-1,0
cellular,23,no,secondary,yes,services,yes,single,jul,unknown,no,26,127,3,85,-1,0
cellular,24,no,primary,no,blue-collar,no,married,jul,unknown,no,34,176,1,78,-1,0
unknown,28,no,tertiary,yes,retired,yes,married,may,unknown,yes,57,0,1,648,-1,0
cellular,18,no,secondary,yes,services,no,single,nov,other,no,36,1482,2,177,174,1
unknown,27,no,secondary,yes,blue-collar,no,married,may,unknown,no,42,3052,1,32,-1,0
cellular,29,no,secondary,no,technician,no,divorced,aug,unknown,no,35,56,12,24,-1,0
unknown,7,no,primary,yes,entrepreneur,no,divorced,may,unknown,no,52,278,2,688,-1,0
unknown,27,no,tertiary,yes,management,no,single,may,unknown,no,36,3875,5,21,-1,0
unknown,27,no,secondary,yes,technician,no,married,may,unknown,no,46,-337,1,112,-1,0
cellular,3,no,tertiary,no,management,no,divorced,jun,unknown,yes,60,366,1,593,-1,0
cellular,7,no,primary,yes,housemaid,yes,married,aug,unknown,no,57,501,2,59,-1,0
cellular,29,no,tertiary,yes,management,no,married,jan,unknown,no,48,998,3,121,-1,0
telephone,28,no,primary,yes,self-employed,no,married,jul,unknown,no,59,0,2,97,-1,0
cellular,11,no,tertiary,no,management,no,married,aug,unknown,no,39,246,2,86,-1,0
cellular,14,no,secondary,yes,blue-collar,yes,married,may,unknown,no,44,-182,10,10,-1,0
cellular,23,no,tertiary,no,management,no,single,jun,unknown,no,27,446,3,205,-1,0
unknown,9,no,secondary,no,retired,no,married,jun,unknown,no,59,1173,2,77,-1,0
cellular,18,no,secondary,yes,technician,no,divorced,nov,unknown,no,36,5957,2,138,-1,0
cellular,3,no,secondary,no,admin.,no,married,nov,unknown,yes,44,205,1,289,-1,0
cellular,4,no,secondary,no,admin.,no,married,aug,unknown,no,50,0,4,86,-1,0
telephone,22,no,tertiary,yes,management,no,divorced,aug,unknown,no,41,369,3,9,-1,0
cellular,14,no,secondary,no,admin.,yes,married,may,failure,no,47,1934,1,225,364,1
cellular,22,no,tertiary,no,technician,no,single,jul,unknown,no,32,259,4,407,-1,0
unknown,3,no,secondary,yes,blue-collar,yes,married,jun,unknown,no,38,284,6,1030,-1,0
cellular,13,no,unknown,no,blue-collar,no,married,aug,unknown,no,55,23,2,123,-1,0
cellular,22,no,tertiary,no,management,no,single,oct,unknown,no,38,1373,4,119,-1,0
cellular,18,no,tertiary,yes,management,no,single,may,failure,no,31,62,1,175,293,5
unknown,9,no,secondary,no,blue-collar,no,divorced,jun,unknown,no,38,157,5,299,-1,0
cellular,5,no,tertiary,no,unemployed,no,single,feb,unknown,no,29,991,1,563,-1,0
unknown,9,no,secondary,yes,services,yes,married,may,unknown,no,55,186,1,241,-1,0
cellular,4,no,secondary,yes,unemployed,no,married,may,other,no,35,977,4,52,91,1
cellular,2,no,tertiary,no,self-employed,no,single,jun,unknown,no,40,2893,3,76,-1,0
cellular,19,no,secondary,yes,blue-collar,yes,married,nov,unknown,no,34,1897,1,441,-1,0
cellular,22,no,tertiary,no,technician,no,single,apr,success,yes,32,5514,1,319,182,1
unknown,18,no,secondary,yes,blue-collar,no,married,sep,success,no,33,889,1,13,373,6
unknown,16,no,tertiary,yes,management,no,married,may,unknown,yes,33,273,1,803,-1,0
cellular,12,no,secondary,no,admin.,no,married,may,unknown,no,37,1193,2,396,-1,0
unknown,18,no,tertiary,no,management,no,married,jun,unknown,no,58,2729,1,188,-1,0
cellular,20,no,secondary,no,admin.,no,single,apr,unknown,no,36,0,1,637,-1,0
unknown,5,no,secondary,yes,blue-collar,no,married,jun,unknown,no,42,230,7,175,-1,0
cellular,6,no,secondary,yes,technician,no,single,apr,success,no,34,2729,1,945,139,1
unknown,23,no,tertiary,yes,management,no,married,may,unknown,no,35,317,3,162,-1,0
unknown,12,no,primary,no,housemaid,no,married,jun,unknown,no,60,517,3,1178,-1,0
cellular,8,no,tertiary,yes,management,no,married,may,failure,no,50,-470,2,506,170,3
cellular,12,no,tertiary,no,self-employed,no,single,jan,unknown,yes,28,4579,2,409,-1,0
cellular,14,no,secondary,yes,blue-collar,no,divorced,jul,unknown,no,27,1,3,116,-1,0
cellular,30,no,tertiary,no,management,no,married,apr,unknown,yes,37,5106,1,244,-1,0
cellular,4,no,tertiary,yes,technician,no,married,may,unknown,yes,31,636,4,352,-1,0
cellular,12,no,secondary,no,services,no,married,may,success,yes,34,1076,1,152,182,6
unknown,21,no,tertiary,yes,management,no,married,may,unknown,no,38,126,2,164,-1,0
unknown,28,no,secondary,yes,self-employed,no,married,may,unknown,no,32,-33,3,234,-1,0
cellular,27,no,secondary,no,technician,no,married,aug,unknown,no,37,430,4,154,-1,0
unknown,7,no,secondary,yes,admin.,no,married,may,unknown,no,33,-6,2,566,-1,0
cellular,27,no,tertiary,no,technician,no,married,oct,success,no,71,383,2,327,183,3
cellular,7,no,secondary,yes,technician,no,married,may,unknown,no,27,130,3,265,-1,0
unknown,9,no,primary,no,blue-collar,no,married,jun,unknown,no,38,2569,1,172,-1,0
cellular,22,no,secondary,no,technician,no,single,jul,unknown,no,34,201,2,257,-1,0
unknown,13,no,tertiary,no,retired,no,divorced,may,unknown,yes,54,0,1,618,-1,0
cellular,28,no,secondary,yes,blue-collar,no,married,jan,unknown,no,30,6,3,241,-1,0
cellular,21,no,secondary,no,entrepreneur,yes,single,jul,unknown,no,35,475,4,936,-1,0
cellular,7,no,secondary,yes,blue-collar,no,single,apr,failure,no,33,706,1,329,322,1
cellular,14,no,secondary,yes,management,no,married,may,failure,no,36,1825,1,24,346,1
cellular,22,no,tertiary,no,self-employed,no,married,jun,failure,no,59,185,5,177,138,1
telephone,13,no,primary,no,blue-collar,no,married,oct,unknown,no,72,4415,1,120,-1,0
telephone,22,no,tertiary,no,management,no,married,apr,unknown,no,64,679,3,135,-1,0
cellular,9,no,secondary,no,technician,no,divorced,jul,unknown,no,53,320,1,175,-1,0
cellular,25,no,tertiary,yes,management,no,single,may,unknown,no,35,2988,1,179,-1,0
unknown,30,no,secondary,yes,self-employed,no,married,may,unknown,no,58,1407,1,58,-1,0
cellular,17,no,secondary,no,technician,no,married,apr,unknown,no,40,1270,2,342,-1,0
cellular,13,no,secondary,yes,services,no,divorced,may,unknown,no,41,654,2,139,-1,0
unknown,18,no,primary,yes,retired,no,married,jun,unknown,no,48,5173,8,88,-1,0
cellular,28,no,tertiary,yes,entrepreneur,yes,married,aug,unknown,no,44,3463,3,210,-1,0
cellular,2,no,unknown,no,blue-collar,no,married,feb,failure,no,39,0,1,731,193,3
cellular,2,no,tertiary,no,management,no,married,feb,unknown,yes,61,6016,3,670,-1,0
unknown,12,no,primary,yes,entrepreneur,no,married,may,unknown,no,36,177,5,63,-1,0
cellular,8,no,tertiary,no,management,yes,married,jul,unknown,no,28,3694,2,70,-1,0
cellular,4,no,secondary,no,retired,yes,single,feb,failure,no,58,1640,6,72,274,4
cellular,15,no,secondary,yes,admin.,no,divorced,may,failure,no,60,174,1,241,364,1
cellular,5,no,secondary,no,admin.,no,single,may,unknown,no,66,10177,4,272,-1,0
cellular,28,no,tertiary,no,management,no,single,aug,failure,yes,36,490,8,207,98,1
cellular,15,no,secondary,yes,self-employed,no,married,may,unknown,no,49,2576,6,64,-1,0
unknown,12,no,secondary,no,services,no,married,jun,unknown,no,40,0,2,543,-1,0
cellular,30,no,secondary,no,technician,no,single,apr,unknown,no,23,598,1,166,-1,0
cellular,26,no,tertiary,no,management,no,single,may,success,no,29,15459,3,245,97,7
unknown,9,no,primary,yes,blue-collar,yes,married,may,unknown,no,44,271,1,94,-1,0
unknown,20,no,unknown,no,unknown,no,married,jun,unknown,no,54,2508,8,34,-1,0
telephone,30,no,primary,no,blue-collar,no,married,jul,unknown,no,47,320,2,203,-1,0
cellular,24,no,tertiary,no,admin.,no,married,jul,unknown,no,33,640,1,318,-1,0
cellular,13,no,secondary,yes,self-employed,no,married,apr,unknown,no,30,1772,4,158,-1,0
cellular,21,no,secondary,no,admin.,yes,single,jul,unknown,no,27,15,1,177,-1,0
unknown,17,no,tertiary,yes,management,yes,divorced,nov,other,no,49,2370,1,56,103,2
unknown,4,no,secondary,yes,services,no,single,jun,unknown,no,27,201,2,172,-1,0
cellular,7,no,secondary,yes,blue-collar,no,married,may,failure,no,51,160,1,136,359,1
cellular,18,yes,secondary,yes,admin.,yes,divorced,may,other,no,32,5,3,82,363,2
unknown,16,no,secondary,yes,blue-collar,no,single,may,unknown,no,30,75,1,123,-1,0
cellular,20,no,secondary,yes,admin.,no,married,nov,unknown,no,33,4902,1,110,-1,0
unknown,30,no,primary,yes,blue-collar,no,single,may,unknown,no,27,-79,5,385,-1,0
cellular,18,no,secondary,no,retired,no,divorced,dec,unknown,yes,75,1341,7,415,-1,0
cellular,2,no,secondary,yes,services,no,divorced,feb,unknown,no,37,490,1,73,-1,0
unknown,16,no,secondary,yes,technician,no,single,jun,unknown,no,36,1521,2,243,-1,0
unknown,9,no,secondary,yes,blue-collar,no,married,may,unknown,no,37,131,2,137,-1,0
unknown,23,no,tertiary,yes,management,no,married,may,unknown,no,35,8,4,55,-1,0
cellular,20,no,secondary,yes,services,yes,married,apr,unknown,no,32,-632,5,18,-1,0
cellular,16,no,secondary,no,admin.,yes,single,jul,unknown,no,32,116,2,255,-1,0
cellular,11,no,primary,yes,admin.,no,married,may,unknown,no,35,189,1,95,-1,0
cellular,10,no,primary,yes,blue-collar,yes,married,jul,unknown,no,31,2,1,112,-1,0
cellular,5,no,secondary,yes,blue-collar,yes,single,may,unknown,no,28,4229,2,205,-1,0
cellular,18,no,secondary,yes,services,no,married,may,failure,no,27,54,1,97,370,1
cellular,2,no,unknown,no,student,no,single,sep,unknown,no,22,549,1,154,-1,0
cellular,13,no,primary,yes,blue-collar,no,married,may,failure,no,35,298,2,135,370,2
cellular,14,no,primary,no,retired,no,married,aug,unknown,no,69,579,1,230,-1,0
cellular,17,no,tertiary,yes,entrepreneur,yes,single,nov,unknown,no,37,1467,1,349,-1,0
cellular,8,no,secondary,yes,admin.,no,single,may,unknown,no,45,0,1,38,-1,0
cellular,22,no,tertiary,yes,management,no,married,jul,unknown,no,47,109,1,268,-1,0
cellular,11,no,tertiary,yes,management,no,married,may,unknown,no,52,-11,4,94,-1,0
cellular,28,no,secondary,yes,services,no,married,jul,unknown,no,33,90,2,263,-1,0
cellular,18,no,primary,no,blue-collar,no,married,aug,unknown,yes,60,493,4,671,-1,0
unknown,2,no,secondary,yes,management,yes,divorced,jun,unknown,no,33,1897,1,197,-1,0
cellular,28,no,secondary,yes,admin.,no,married,jan,unknown,no,44,2403,2,180,-1,0
cellular,20,no,secondary,no,entrepreneur,no,married,nov,unknown,no,38,868,2,452,-1,0
unknown,15,no,secondary,yes,entrepreneur,no,married,may,unknown,no,54,653,1,352,-1,0
cellular,15,no,primary,no,unemployed,no,divorced,jul,unknown,no,32,0,4,175,-1,0
cellular,19,no,secondary,yes,technician,yes,married,nov,unknown,no,33,0,2,163,-1,0
unknown,29,no,secondary,yes,services,no,divorced,may,unknown,no,55,218,2,200,-1,0
unknown,16,no,primary,no,blue-collar,yes,married,jun,unknown,no,51,5050,7,75,-1,0
cellular,16,no,secondary,yes,blue-collar,no,married,apr,unknown,no,48,741,1,227,-1,0
cellular,3,no,secondary,yes,services,no,single,feb,unknown,no,37,1050,3,586,-1,0
cellular,10,no,secondary,no,services,yes,single,jul,unknown,no,33,-56,5,119,-1,0
telephone,22,no,primary,yes,blue-collar,yes,married,jul,unknown,no,30,1,2,80,-1,0
cellular,12,no,primary,yes,blue-collar,yes,married,may,other,no,43,-98,2,112,330,3
unknown,19,no,secondary,yes,technician,no,married,may,unknown,no,49,4667,2,130,-1,0
cellular,3,no,primary,yes,unemployed,no,married,feb,unknown,no,54,541,3,237,-1,0
cellular,26,no,tertiary,no,unemployed,no,married,aug,unknown,no,31,7744,8,377,-1,0
cellular,7,no,unknown,no,unknown,no,married,oct,unknown,yes,54,895,1,335,-1,0
cellular,29,no,secondary,yes,unemployed,no,married,jul,unknown,no,36,-129,3,121,-1,0
cellular,15,no,secondary,no,admin.,no,married,jul,unknown,no,30,0,5,127,-1,0
unknown,1,no,secondary,no,technician,no,single,jul,unknown,yes,27,158,2,650,-1,0
unknown,16,no,secondary,yes,admin.,no,married,may,unknown,no,30,122,1,107,-1,0
unknown,20,no,secondary,yes,blue-collar,no,married,may,unknown,no,30,673,2,610,-1,0
cellular,25,no,secondary,no,technician,no,divorced,aug,unknown,no,35,0,4,124,-1,0
unknown,8,no,secondary,yes,services,no,divorced,may,unknown,no,33,411,1,216,-1,0
cellular,31,no,primary,yes,blue-collar,yes,divorced,jul,unknown,no,43,-97,4,747,-1,0
cellular,11,no,secondary,yes,blue-collar,no,married,may,other,no,41,-217,1,313,349,3
cellular,23,no,tertiary,no,management,no,divorced,apr,other,yes,41,5037,9,252,185,5
cellular,13,no,secondary,no,admin.,no,divorced,feb,unknown,yes,46,2232,1,121,-1,0
unknown,7,no,secondary,yes,blue-collar,no,married,may,unknown,no,54,-932,1,799,-1,0
cellular,23,no,tertiary,yes,management,no,married,jun,failure,no,32,913,1,883,674,4
unknown,16,no,tertiary,yes,technician,no,single,may,unknown,no,30,236,1,197,-1,0
cellular,11,no,primary,yes,entrepreneur,no,married,jul,unknown,no,40,0,2,271,-1,0
